Industries,Year,Month,Province,Sales (Millions)
Motor vehicle and parts dealers,2013,1,Alberta,101.882
Motor vehicle and parts dealers,2013,2,Alberta,85.714
Motor vehicle and parts dealers,2013,3,Alberta,101.534
Motor vehicle and parts dealers,2013,4,Alberta,121.155
Motor vehicle and parts dealers,2013,7,Alberta,130.596
Motor vehicle and parts dealers,2013,8,Alberta,126.882
Motor vehicle and parts dealers,2013,9,Alberta,126.558
Motor vehicle and parts dealers,2013,10,Alberta,176.18
Motor vehicle and parts dealers,2013,11,Alberta,171.618
Motor vehicle and parts dealers,2013,12,Alberta,117.167
Motor vehicle and parts dealers,2014,1,Alberta,116.123
Motor vehicle and parts dealers,2014,2,Alberta,99.495
Motor vehicle and parts dealers,2014,3,Alberta,111.636
Motor vehicle and parts dealers,2014,11,Alberta,181.177
Motor vehicle and parts dealers,2015,1,Alberta,110.795
Motor vehicle and parts dealers,2015,2,Alberta,97.833
Motor vehicle and parts dealers,2016,1,Alberta,89.369
Motor vehicle and parts dealers,2016,2,Alberta,83.736
Building material and garden equipment and supplies dealers,2013,2,Alberta,215.888
Building material and garden equipment and supplies dealers,2013,3,Alberta,247.214
Building material and garden equipment and supplies dealers,2013,5,Alberta,405.049
Building material and garden equipment and supplies dealers,2020,4,Alberta,318.208
Building material and garden equipment and supplies dealers,2020,5,Alberta,599.877
Building material and garden equipment and supplies dealers,2021,10,Alberta,475.685
Miscellaneous store retailers,2018,10,Alberta,5.701
Miscellaneous store retailers,2022,3,Alberta,63.174
Miscellaneous store retailers,2022,5,Alberta,67.164
Miscellaneous store retailers,2022,11,Alberta,66.417
Clothing and clothing accessories stores,2019,10,Alberta,402.606
Clothing and clothing accessories stores,2020,10,Alberta,404.101
Clothing and clothing accessories stores,2021,10,Alberta,414.723
Clothing and clothing accessories stores,2019,10,Alberta,334.013
Clothing and clothing accessories stores,2020,10,Alberta,337.999
Clothing and clothing accessories stores,2021,10,Alberta,350.989
Food and beverage store,2015,12,Alberta,65.839
Food and beverage store,2016,3,Alberta,63.303
Food and beverage store,2016,4,Alberta,64.171
Food and beverage store,2016,6,Alberta,69.209
Food and beverage store,2016,9,Alberta,70.645
Food and beverage store,2016,10,Alberta,66.514
Food and beverage store,2016,11,Alberta,62.93
Food and beverage store,2020,3,Alberta,63.59
Food and beverage store,2020,4,Alberta,71.784
Food and beverage store,2020,5,Alberta,86.438
Food and beverage store,2020,6,Alberta,84.31
Food and beverage store,2020,7,Alberta,82.43
Food and beverage store,2020,12,Alberta,69.928
Food and beverage store,2021,1,Alberta,65.244
Food and beverage store,2021,2,Alberta,60.644
Food and beverage store,2021,3,Alberta,63.468
Food and beverage store,2021,6,Alberta,78.394
Food and beverage store,2021,9,Alberta,71.242
Food and beverage store,2021,10,Alberta,66.376
Food and beverage store,2021,11,Alberta,55.831
Food and beverage store,2021,12,Alberta,57.882
Food and beverage store,2022,1,Alberta,56.335
Electronics and appliance stores,2017,2,Alberta,137.739
Electronics and appliance stores,2017,3,Alberta,180.059
Furniture and home furnishings stores,2015,8,Alberta,145.598
Furniture and home furnishings stores,2015,10,Alberta,139.667
Furniture and home furnishings stores,2016,3,Alberta,116.772
Furniture and home furnishings stores,2016,11,Alberta,141.491
Furniture and home furnishings stores,2020,4,Alberta,57.298
Furniture and home furnishings stores,2020,5,Alberta,97.301
Furniture and home furnishings stores,2020,12,Alberta,145.162
Health and personal care stores,2014,6,Alberta,292.622
