Mean Temp Monthly (°C),Total Precip Monthly (mm),Province,Year,Month
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
2.172,135.7,British Columbia,2013,1
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
5.076923077,102.8,British Columbia,2013,2
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
7.413333333,214.9,British Columbia,2013,3
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
9.410344828,144.3,British Columbia,2013,4
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
13.819354839,103.3,British Columbia,2013,5
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
16.35,81,British Columbia,2013,6
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
18.880645161,3.8,British Columbia,2013,7
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
19.383333333,25.7,British Columbia,2013,8
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
16.1,122.5,British Columbia,2013,9
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
10.126923077,63.1,British Columbia,2013,10
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
5.82,217.5,British Columbia,2013,11
